#Dt	counts	counts_err
1.6599999999999999e-09	26.0	1.6781256662270107e-07
1.6699999999999998e-09	21.0	1.7113207123893126e-07
1.68e-09	24.0	1.6914036846919291e-07
1.69e-09	28.0	1.6648476477620912e-07
1.7e-09	24.0	1.6914036846919291e-07
1.7099999999999999e-09	22.0	1.7046817031568526e-07
1.7199999999999999e-09	18.0	1.731237740086695e-07
1.7299999999999998e-09	23.0	1.698042693924393e-07
1.74e-09	20.0	1.717959721621774e-07
1.75e-09	21.0	1.7113207123893126e-07
1.76e-09	19.0	1.724598730854234e-07
1.7699999999999999e-09	21.0	1.7113207123893126e-07
1.7799999999999999e-09	15.0	1.751154767784074e-07
1.7899999999999998e-09	20.0	1.717959721621774e-07
1.8e-09	14.0	1.757793777016536e-07
1.81e-09	12.0	1.7710717954814574e-07
1.82e-09	17.0	1.737876749319155e-07
1.8299999999999999e-09	19.0	1.724598730854234e-07
1.8399999999999998e-09	24.0	1.6914036846919291e-07
1.8499999999999998e-09	18.0	1.731237740086695e-07
1.86e-09	21.0	1.7113207123893126e-07
1.87e-09	17.0	1.737876749319155e-07
1.8799999999999997e-09	12.0	1.7710717954814574e-07
1.89e-09	18.0	1.731237740086695e-07
1.9e-09	14.0	1.757793777016536e-07
1.91e-09	18.0	1.731237740086695e-07
1.92e-09	14.0	1.757793777016536e-07
1.9299999999999997e-09	11.0	1.7777108047139163e-07
1.94e-09	13.0	1.7644327862489963e-07
1.9499999999999997e-09	18.0	1.731237740086695e-07
1.96e-09	12.0	1.7710717954814574e-07
1.97e-09	22.0	1.7046817031568526e-07
1.9799999999999998e-09	16.0	1.7445157585516142e-07
1.99e-09	16.0	1.7445157585516142e-07
1.9999999999999997e-09	8.0	1.7976278324112974e-07
2.01e-09	11.0	1.7777108047139163e-07
2.02e-09	10.0	1.7843498139463763e-07
2.03e-09	15.0	1.751154767784074e-07
2.04e-09	11.0	1.7777108047139163e-07
2.0499999999999997e-09	19.0	1.724598730854234e-07
2.06e-09	7.0	1.8042668416437577e-07
2.0699999999999997e-09	14.0	1.757793777016536e-07
2.08e-09	8.0	1.7976278324112974e-07
2.09e-09	6.0	1.810905850876218e-07
2.0999999999999998e-09	12.0	1.7710717954814574e-07
2.11e-09	13.0	1.7644327862489963e-07
2.1199999999999997e-09	14.0	1.757793777016536e-07
2.13e-09	9.0	1.7909888231788369e-07
2.14e-09	15.0	1.751154767784074e-07
2.15e-09	19.0	1.724598730854234e-07
2.16e-09	13.0	1.7644327862489963e-07
